Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Pop_Pct,Series_Complete_5PlusPop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses_Vax_Pct,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,month,year,day_of_week,YearMonth,is_segmented_outlier,quarter,dayofyear,dayofmonth,weekofyear,season,holidays,holiday_season,vax_announcement,Additional_Doses_Vax_Pct_1_hr_lag
2023-05-10,19,NE,5481710,152400,1647380,2905630,0,283379,303944.0,338919,375889,1754380,3822190,3793971.0,3647301,3412154,1117112,96449,1240872,2124748,10726.0,197590,210364.0,225503,233976,357524,3839138,73.7,78.3,83.2,85.3,95.0,66.5,70.9,75.4,77.4,95.0,90057,433872,758745,2568.0,90027,427057,700015,2451.0,89943,426673,609469,2215.0,7102,143236,146396,1065.0,55.8,58.9,72.2,80.7,265916.0,443827.0,7164.0,1215.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,
2023-05-10,19,LA,10282120,330500,3807980,5164550,0,221178,236516.0,262077,288729,1387560,6961453,6945414.0,6796682,6443990,2090638,202173,2685630,3705194,3970.0,149748,159763.0,173238,180952,282129,6941996,62.9,67.1,72.2,74.6,92.8,55.1,58.8,63.7,66.0,87.4,183620,984393,1390083,1599.0,183582,982374,1329829,1547.0,183374,981633,1183540,1470.0,22545,308249,316290,238.0,43.3,45.8,59.5,69.6,486814.0,608975.0,14004.0,364.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,55.8
2023-05-10,19,GA,28727475,869100,9763000,14773655,0,270569,288404.0,319617,354068,1893760,17124791,17045184.0,16545894,15542310,4409764,349386,6170654,9413636,57522.0,161290,171122.0,184087,191560,290699,17292313,68.6,72.8,77.9,80.2,95.0,57.5,61.1,65.6,67.7,86.8,329574,2227274,3520592,17689.0,329420,2219163,3328796,16346.0,329010,2217105,2933657,14037.0,35851,713682,562612,3731.0,44.3,46.7,59.0,67.8,1155986.0,1518137.0,26699.0,4168.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,43.3
2023-05-10,19,WY,1281755,49300,490040,585605,0,221466,235691.0,261198,288019,1292370,854132,851464.0,831727,790769,284622,29205,347522,410669,1271.0,147580,156569.0,169491,177691,286978,864672,61.1,64.8,69.8,72.6,95.0,53.2,56.4,60.9,63.3,87.9,27160,124833,154904,375.0,27156,124395,146778,346.0,27135,124344,130027,328.0,4009,44799,38214,107.0,47.3,49.5,61.8,71.2,66344.0,77096.0,1930.0,214.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,44.3
2023-05-10,19,CO,17769135,501900,5402640,9029715,0,308560,327449.0,359986,394938,2109320,13033446,12899729.0,12396074,11614071,3172390,347348,4490965,6833751,21716.0,226325,237716.0,251133,258135,376584,13052721,84.0,88.0,92.2,93.8,95.0,73.8,77.7,81.5,82.9,95.0,317861,1506177,2405608,5912.0,317830,1487898,2211451,5522.0,317474,1486622,1919661,4639.0,29304,388127,399216,1310.0,57.9,60.8,73.8,81.0,1019757.0,1410438.0,27303.0,2547.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,47.3
2023-05-10,19,PA,42895735,1569200,13941120,21178525,0,335071,354391.0,387092,421896,1792280,27586432,27360998.0,26407167,24920539,8490730,803739,9697012,14573866,1981.0,215486,226048.0,238299,245103,354762,27645384,91.1,95.0,95.0,95.0,95.0,73.8,77.4,81.2,83.1,95.0,743336,3376778,5304716,919.0,743203,3326250,4932472,904.0,742610,3322049,4381000,832.0,93579,1140982,1210114,330.0,47.6,49.9,60.9,68.8,1885893.0,2542921.0,64314.0,222.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,57.9
2023-05-10,19,DE,3352025,102600,1071000,1651775,0,344234,364729.0,399142,435219,1774440,2169125,2157007.0,2088591,1964981,709063,63643,747546,1140624,2633.0,222757,234701.0,248699,255129,375352,2142992,88.5,93.2,95.0,95.0,95.0,73.5,77.6,81.7,83.2,95.0,58141,249698,405512,896.0,58130,248985,378192,877.0,58080,248743,333382,835.0,10103,80277,102852,399.0,51.7,54.2,66.0,74.7,152458.0,211961.0,5346.0,128.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,47.6
2023-05-10,19,OR,14222125,466700,4482360,7060535,0,337198,356451.0,389886,424392,1856480,9399175,9326386.0,8983058,8453948,2698104,279663,3129879,4982450,24978.0,222849,233748.0,246262,252268,352196,9395784,82.0,85.7,89.6,91.0,95.0,72.7,76.4,80.1,81.3,94.5,250426,1037606,1762640,8170.0,250422,1032161,1630930,7873.0,249534,1028887,1439948,7261.0,52907,325519,343210,1974.0,59.1,61.5,72.8,80.5,726631.0,1059442.0,24707.0,2059.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,51.7
2023-05-10,19,WI,16474175,457200,5144600,8183105,0,282943,299970.0,329497,361606,1619490,12444016,12347025.0,11929874,11264241,3948468,338987,4216126,6529437,5268.0,213725,224821.0,238607,247249,388154,12448224,75.3,79.1,83.1,85.2,95.0,68.4,72.0,75.8,77.7,95.0,303912,1389995,2275368,1900.0,303880,1375749,2107453,1761.0,303668,1374960,1858362,1552.0,30992,480316,497117,458.0,61.1,64.2,75.5,84.0,965717.0,1437896.0,27845.0,488.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,59.1
2023-05-10,19,ND,1910860,53600,600920,990720,0,250749,269910.0,299862,328388,1594440,1314469,1302373.0,1253917,1185548,387008,40028,430115,713997,345.0,172488,183961.0,196771,203741,322924,1283857,69.6,74.2,79.0,81.4,95.0,58.9,63.1,67.4,69.4,91.8,36922,151351,259336,85.0,36914,151083,241235,78.0,36758,150825,216226,73.0,4404,50887,54701,10.0,48.9,51.0,64.7,74.3,85932.0,131019.0,2543.0,38.0,5,2023,Wednesday,2023-05,False,2,130,10,19,spring,Normal day,False,False,61.1
